"Broo congratulations 🎉🎉
U nailed it👍🤘🔥🔥",0.5994,2
Bhaiya accha gana hain from Nirmala convent school haldwani Garvit Arora Ishika brother,0.0,2
Lovely work manan...Keep It Up😍🌷💖💗,0.5859,2
Really happy for all of you... Keep going on and on.... My good wishes to you all🥰,0.8173,5
This one is just freaking awesome 😍❤️,0.3182,2
Congratulations bro ❤️🥰 keep growing ❣️,0.6808,2
😍❤️,0.0,2
Excellent bro,0.5719,2
"It's short but ÑïÇë 
Just a suggestion increase the no of lines 😇",0.0387,10
"Such an amazing composition, keep going 👍🏻👍🏻",0.5859,4
Broooooooooooo😍,0.0,2
Nyccc broo keep going 👍👍👍,0.0,2
Congrats manan for your 1st video album.. Amazing work...💖💖💖👍👍,0.802,2
Awesome😍😍🔥🔥🔥,0.0,2
GADAR BHAIII❤🔥🔥,0.0,1
WOW.❤,0.0,2
Awsm##🔥🔥🔥🔥🔥,0.0,2
Madan Bhai 💓,0.0,3
Bdiya✨✨,0.0,1
Congratulations bro,0.5994,2
great composition❤️keep it up ....manan🔥,0.6249,3
"congrats to the whole team!!
🙌🙌🙌👌",0.6103,6
Gajab Londe..❤🔥🔥,0.0,2
😍😍😍😍,0.0,1
"Bhtt bDiyA bhai, 💓",0.0,2
Gzb bhai 🔥🔥🔥 bahaut sahi keep growing and glowing ❤️❤️,0.1779,2
"Favv🥺❤
Uh nailed ittt manan💯❤",0.0,2
Amazing Biro ❤👌,0.5859,6
too amazingg!! keep up the good work dear!! proud of you ❤️,0.8679,2
🔥🔥🔥💥,0.0,2
Wow ❤️❤️,0.5859,2
Nice singing🎤🎤🎵🎵 nice team,0.6808,2
Superb bro❤❤🔥🔥,0.6249,1
Congratulations for your 1st composition ❤ i will be glad to listen more of your songs.... All the best❤,0.7845,3
💯💯💯💫💫💫💫,0.0,3
🔥🔥🔥,0.0,1
❤❤✌,0.0,2
Woahhhhh😍😍😍😍 KEEP RISING AND SHINING  manannnn ❤❤❤❤ Uh nailedd ittt😍😍,0.0,1
